iso_alpha_3,year,frac_trns_mtkm_dem_freight_water_borne,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_aviation
ABW,2011,0.10726823188297714,0.7222727614363859,0.16447795554111225,0.005981051139524772
ABW,2012,0.10726804877738201,0.7222715284817102,0.16447767475366462,0.005982747987243272
ABW,2013,0.23773631935839595,0.38770903229287124,0.3645290230413589,0.010025625307373932
ABW,2014,0.23773460177624683,0.3877011509592931,0.3645263895160016,0.010037857748458579
ABW,2015,0.23772758236993485,0.38770635974207984,0.36451562628799095,0.010050431599994431
ABW,2016,0.23772987782993782,0.38770328354170885,0.36451914619454034,0.010047692433813009
ABW,2017,0.23773218798560394,0.3877001751193995,0.364522688332622,0.010044948562374565
ABW,2018,0.23773453380925713,0.3876969880829604,0.36452628528737385,0.010042192820408562
ABW,2019,0.23773294371733195,0.38770352717470574,0.36452384705839375,0.010039682049568665
ABW,2020,0.23773358333264996,0.387704570282619,0.36452482780188145,0.010037018582849637
AFG,2011,0.10775232842324332,0.7255323447083069,0.16522023686371795,0.0014950900047318197
AFG,2012,0.10774232315641333,0.7254649758744816,0.16520489546113226,0.0015878055079727841
AFG,2013,0.10778970576565182,0.7257840188772602,0.16527754879813134,0.00114872655895657
AFG,2014,0.10786355885696065,0.7262812963197885,0.16539079021483272,0.00046435460841825083
AFG,2015,0.10786544148192911,0.7262939725567832,0.1653936769803609,0.0004469089809267083
AFG,2016,0.10787109492770888,0.7263320391898791,0.16540234560387024,0.0003945202785417814
AFG,2017,0.10788194635884096,0.7264051056088711,0.165418984438804,0.0002939635934839024
AFG,2018,0.10786967235991263,0.7263224605024938,0.1654001643247384,0.000407702812855261
AFG,2019,0.10788365268299697,0.7264165948035213,0.1654216008463779,0.0002781516671039249
AFG,2020,0.1078836152100228,0.7264163423553125,0.16542154336966822,0.0002784990649964488
AGO,2011,0.2373004036652704,0.39806623540193214,0.36386061884224247,0.0007727420905550319
AGO,2012,0.22114155178604464,0.4389159252733769,0.33908371277893457,0.0008588101616438951
AGO,2013,0.21082335974396182,0.465204139348428,0.323262484846652,0.0007100160609580714
AGO,2014,0.20376120982146156,0.4832383570369018,0.3124338550422788,0.0005665780993578187
AGO,2015,0.19870050300370937,0.49627650259272765,0.30467410458042943,0.0003488898231336735
AGO,2016,0.20951980612307447,0.46886811120735256,0.32126370272204746,0.0003483799475254696
AGO,2017,0.2216030366898117,0.4380456633408417,0.3397913229132871,0.0005599770560592548
AGO,2018,0.23525977096315842,0.40332418919368446,0.3607316488568766,0.0006843909862805157
AGO,2019,0.2508662722595442,0.36384239321131984,0.38466161748314376,0.0006297170459922934
AGO,2020,0.26887688595929754,0.3185612226662324,0.4122778918108076,0.0002839995636625459
ALB,2011,0.12306037972380508,0.8150821519103735,0.005320379581660401,0.05653708878416105
ALB,2012,0.12175519527637978,0.8085774513890123,0.003123850453519596,0.06654350288108835
ALB,2013,0.12236661853312467,0.8131122748550528,0.0026651820324449503,0.061855924579377636
ALB,2014,0.12240085245411718,0.8114144843595383,0.004591198629541229,0.06159346455680329
ALB,2015,0.12236343851820611,0.8130890723760572,0.0026671843735359855,0.06188030473220078
ALB,2016,0.12233666063519803,0.8145608845243412,0.0010168530051285918,0.06208560183533233
ALB,2017,0.12234318182780503,0.8127044225839981,0.002916789562939391,0.06203560602525755
ALB,2018,0.12232489077017673,0.8131461158004931,0.0023531559622348842,0.06217583746709519
ALB,2019,0.12233403758304566,0.8106156026645097,0.004944647850797541,0.062105711901647064
ALB,2020,0.12229882769669702,0.812324932223025,0.003000585716543722,0.06237565436373426
ARE,2011,0.1289065046246177,0.6392721745451517,0.19765664043314474,0.034164680397085874
ARE,2012,0.12823274044645977,0.6383863199682783,0.1966235353512383,0.036757404234023475
ARE,2013,0.12747234239256314,0.6379289636186475,0.1954575916778617,0.03914110231092773
ARE,2014,0.12703524222600657,0.6388251664558124,0.19478737140983088,0.03935221990835002
ARE,2015,0.12696591629160506,0.6408852116069126,0.19468107164399814,0.03746780045748419
ARE,2016,0.12693285172129004,0.6409282356806886,0.1946303726486078,0.03750853994941362
ARE,2017,0.12681041505174753,0.640349490486965,0.19444263642192292,0.0383974580393647
ARE,2018,0.12701866983041316,0.6413362987475326,0.1947619604020124,0.03688307102004185
ARE,2019,0.12738686740056757,0.6431552700877813,0.19532653000803946,0.03413133250361164
ARE,2020,0.1281662604871693,0.6471698374279187,0.19652159943523953,0.02814230264967264
ARG,2011,0.16069959330230948,0.8221871732467182,0.016847766816255962,0.00026546663471639485
ARG,2012,0.15959769816224575,0.8261507413558682,0.014013061094996766,0.0002384993868893302
ARG,2013,0.15852691088378149,0.8287550352527593,0.012376808060258723,0.00034124580320059436
ARG,2014,0.15755604235650356,0.8312736872489845,0.010851060407873009,0.0003192099866388874
ARG,2015,0.15664551545189026,0.8333563688314362,0.009711976786643607,0.0002861389300300381
ARG,2016,0.15848112350747393,0.8309658465879409,0.01024762985287126,0.00030540005171398807
ARG,2017,0.16040788875831255,0.828902920616555,0.010313556540424653,0.00037563408470772853
ARG,2018,0.1461722210369664,0.6293974763656864,0.22413073895538177,0.000299563641965469
ARG,2019,0.14746488315430314,0.6261466336131423,0.2261128209152792,0.00027566231727538433
ARG,2020,0.14883847426928742,0.6228608190792032,0.22821899391314918,8.171273836034087e-05
ARM,2011,0.13032606768293128,0.7172207317595021,0.15161971946003983,0.0008334810975268389
ARM,2012,0.13037169986597472,0.7299080757463109,0.139236590026854,0.00048363436086028933
ARM,2013,0.13041385956394858,0.7329162661103088,0.13650946431601504,0.00016041000972756496
ARM,2014,0.13039789806190638,0.7450178858403261,0.124301434572383,0.0002827815253844276
ARM,2015,0.13039308230722854,0.7548602680668023,0.11442694731472132,0.00031970231124786076
ARM,2016,0.13039591903259284,0.7596639126823728,0.10964221420157957,0.0002979540834547324
ARM,2017,0.13039902945882825,0.7635544180737359,0.10577244498511902,0.0002741074823168333
ARM,2018,0.33214310852947,0.1585077007433029,0.5092860998416284,6.309088559876703e-05
ARM,2019,0.3323304436680341,0.1580847201208383,0.5095733469553063,1.148925582136122e-05
ARM,2020,0.33250151079433493,0.15765873618410067,0.5098356497934016,4.103228162772894e-06
AUS,2011,0.11078816758768402,0.6309338942575322,0.25549584737398096,0.002782090780802687
AUS,2012,0.09448476498217179,0.6353519235297534,0.2676471154437121,0.002516196044362512
AUS,2013,0.0911337997553808,0.6288356168430321,0.2782991147208217,0.001731468680765398
AUS,2014,0.08445221989204081,0.6193947216335356,0.29461008362399344,0.0015429748504300596
AUS,2015,0.07972703495863225,0.6145986538268103,0.3042296356478924,0.001444675566664937
AUS,2016,0.08195281470656965,0.6096593885305029,0.3070003350520895,0.0013874617108379686
AUS,2017,0.07760692855467528,0.610546926350525,0.3104192439402106,0.001426901154589147
AUS,2018,0.13283640223125978,0.5743873502707143,0.29143710288262953,0.00133914461539639
AUS,2019,0.13284934269731363,0.5768082441144096,0.2890822395228317,0.001260173665445041
AUS,2020,0.1329122681778851,0.5772053627196335,0.28910658183136134,0.0007757872711198497
AUT,2011,0.1431808750999786,0.6464328725898106,0.20649516082335842,0.0038910914868523832
AUT,2012,0.1438030030386226,0.6465340499948373,0.20625580708827154,0.003407139878268661
AUT,2013,0.1437478884627796,0.6466306793105984,0.2061815703185056,0.0034398619081164334
AUT,2014,0.14298615020108807,0.6453766297679735,0.20792930117353672,0.0037079188574017053
AUT,2015,0.14285262431010465,0.6476145668797791,0.2060542304758048,0.003478578334311416
AUT,2016,0.1424638870868656,0.6496791316979551,0.20415128324163728,0.0037056979735419315
AUT,2017,0.14218676532158317,0.6469267950811134,0.20724303698254395,0.003643402614759436
AUT,2018,0.14228497277374663,0.6482924911341942,0.20592577757286423,0.0034967585191950793
AUT,2019,0.1423270111207519,0.6517953687185005,0.20289030381029569,0.0029873163504518722
AUT,2020,0.14318440037553995,0.656184690287693,0.19990376673706348,0.0007271425997035167
AZE,2011,0.04414586648602284,0.8889918554289848,0.0667806252570091,8.165282798314302e-05
AZE,2012,0.043183556519281574,0.8866491844126336,0.07005597908659429,0.00011127998149041182
AZE,2013,0.03922687102723767,0.8932276954825725,0.06739366140646748,0.00015177208372231057
AZE,2014,0.03425449784429713,0.9013218898347831,0.06122451590938752,0.0031990964115322378
AZE,2015,0.024778340263565554,0.9170348149910743,0.05239138339691594,0.005795461348444234
AZE,2016,0.025875520527980454,0.9230561853582718,0.0447520661496584,0.006316227964089363
AZE,2017,0.037512929935547765,0.9226253322973323,0.03933847994372857,0.000523257823391376
AZE,2018,0.03831347415744363,0.9237072178547997,0.03761016737658146,0.00036914061117523364
AZE,2019,0.02848905045802771,0.9139340097204713,0.043800533560059314,0.013776406261441651
AZE,2020,0.03527912931434802,0.8910252602609249,0.051982978962426714,0.021712631462300375
BDI,2011,0.10722215204671048,0.7219624904989244,0.16440729976773275,0.006408057686632617
BDI,2012,0.10722366260895089,0.7219726614283135,0.16440961601771917,0.006394059945016524
BDI,2013,0.10722526794879832,0.7219834708404992,0.16441207748593464,0.0063791837247678
BDI,2014,0.10722697530891785,0.7219949671104324,0.16441469547801482,0.006363362102635052
BDI,2015,0.10722880290536493,0.7220072728596165,0.16441749773085748,0.006346426504161086
BDI,2016,0.10723092794531251,0.7220215814269865,0.16442075619501145,0.006326734432689621
BDI,2017,0.10723318895666298,0.7220368056231846,0.16442422303805346,0.0063057823820990505
BDI,2018,0.10723558652479932,0.7220529492284361,0.16442789928371065,0.006283564963054165
BDI,2019,0.1072381172641141,0.7220699895880329,0.16443177985154123,0.0062601132963118035
BDI,2020,0.10724078005470422,0.7220879191063947,0.1644358628060691,0.006235438032832125
BEL,2011,0.12889425538751612,0.7955646138134805,0.06373042210329366,0.011810708695709717
BEL,2012,0.13453306452712738,0.6569711818590255,0.20628403230076087,0.0022117213130863986
BEL,2013,0.1342436942546425,0.6574605602150412,0.20584033113381786,0.0024554143964984673
BEL,2014,0.1340905165772796,0.6578462924917565,0.20560545871898311,0.002457732211980838
BEL,2015,0.11746207819161424,0.7000840023495188,0.18010851985260487,0.002345399606261939
BEL,2016,0.11740351656008008,0.700206811060184,0.18001872537847316,0.00237094700126276
BEL,2017,0.10849328713603462,0.722603308595882,0.16635637352014665,0.00254703074793677
BEL,2018,0.10861826113858844,0.7227623544379558,0.16654800036523043,0.0020713840582253598
BEL,2019,0.10865152529233077,0.7225949806888737,0.16659900551722184,0.002154488501573777
BEL,2020,0.10873011636480814,0.7225499783764014,0.1667195117509391,0.0020003935078514116
BEN,2011,0.10791300711429185,0.7266142478927173,0.16546661085952644,6.1341334644687376e-06
BEN,2012,0.10791300566855752,0.7266142382220855,0.16546660872332503,6.14738603197676e-06
BEN,2013,0.10791176506817711,0.7266058847626404,0.16546470635791274,1.764381126958048e-05
BEN,2014,0.10791283324468512,0.7266130772927458,0.1654663443644502,7.74509811880231e-06
BEN,2015,0.10791245030102367,0.7266104986000683,0.16546575717498188,1.129392392604438e-05
BEN,2016,0.10791365928150007,0.7266186392604773,0.16546761091235393,9.054566876878093e-08
BEN,2017,0.10791277860760268,0.7266127092094836,0.16546626048375981,8.251699153903362e-06
BEN,2018,0.10791277622186314,0.7266126931321018,0.16546625685186478,8.273794170152516e-06
BEN,2019,0.10791277357153455,0.7266126754742231,0.16546625276624116,8.298188001312434e-06
BEN,2020,0.10791277070196109,0.7266126560049163,0.1654662483774586,8.324915664034218e-06
BFA,2011,0.10791354453153222,0.7266178665239721,0.1654674349922808,1.1539522146364127e-06
BFA,2012,0.10791356577258576,0.726618009500413,0.16546746752065697,9.572063443473609e-07
BFA,2013,0.10791357858756138,0.7266180958390869,0.16546748713524698,8.384381045465674e-07
BFA,2014,0.10791359493471714,0.726618205923463,0.1654675122413332,6.869004866940206e-07
BFA,2015,0.10791358749467841,0.7266181558462023,0.16546750086305215,7.557960671945518e-07
BFA,2016,0.10791363681993767,0.7266184879697497,0.16546757649522134,2.9871509130467304e-07
BFA,2017,0.10791363660182952,0.7266184864205656,0.16546757611826912,3.008593357677458e-07
BFA,2018,0.10791351488236584,0.7266176668582078,0.1654673895190717,1.4287403545672972e-06
BFA,2019,0.10791359792065415,0.7266182259487928,0.16546751684366504,6.592868881035007e-07
BFA,2020,0.10791358274277703,0.7266181238252397,0.16546749349117587,7.999408074754917e-07
BGD,2011,0.25905359390679594,0.3431643419315163,0.39721551076825057,0.0005665533934371785
BGD,2012,0.25672067981502705,0.34913141789504953,0.39363837559149006,0.0005095266984332762
BGD,2013,0.2545891938690844,0.3543288183436033,0.3903700971436912,0.0007118906436210622
BGD,2014,0.252761622794645,0.3590482519872132,0.3875678216364293,0.000622303581712506
BGD,2015,0.2512201984636049,0.363413225572401,0.38520430437158387,0.0001622715924102836
BGD,2016,0.24866660064941098,0.369899614815864,0.38128878773227043,0.0001449968024547121
BGD,2017,0.24638828685308492,0.37565936907316694,0.3777953732645489,0.00015697080919931976
BGD,2018,0.24436160941771481,0.38082850136644003,0.37468780097852167,0.00012208823732342492
BGD,2019,0.24246780952702376,0.38536140443732925,0.3717839744246286,0.0003868116110184627
BGD,2020,0.24084693269626686,0.3895969190350687,0.3692986300030956,0.0002575182655688058
BGR,2011,0.13042966165154252,0.8133204513312187,0.05621062634573146,3.926067150739145e-05
BGR,2012,0.13043090429255955,0.8248324937652529,0.044706868185144175,2.973375704338375e-05
BGR,2013,0.13043165611777816,0.824595874422865,0.04494849969565601,2.3969763700918223e-05
BGR,2014,0.13043174403505495,0.8230211392391809,0.04652382099451884,2.3295731245292657e-05
BGR,2015,0.13043242791818807,0.8265095185594494,0.04304000089513768,1.8052627224770148e-05
BGR,2016,0.13043226283856416,0.8320529172023979,0.03749550172136313,1.9318237674777446e-05
BGR,2017,0.13043234982267932,0.8268961773260601,0.04265282149180205,1.8651359458546948e-05
BGR,2018,0.1304323150188064,0.8173758407845201,0.05217292600752256,1.8918189150934472e-05
BGR,2019,0.13043197353451957,0.8027002087335791,0.06684628149655145,2.1536235349898802e-05
BGR,2020,0.13043324544698945,0.817776306978079,0.05177866266851741,1.1784906414021056e-05
BHR,2011,0.1817069525264488,0.5317824444689029,0.2786173272677088,0.007893275736939485
BHR,2012,0.175734606335649,0.5488518824820805,0.269459729768669,0.005953781413601579
BHR,2013,0.17038846234003818,0.5639777348559394,0.2612623090749997,0.004371493729022742
BHR,2014,0.1656284223796807,0.5764158360502235,0.2539635809306723,0.0039921606394234255
BHR,2015,0.1616514295703091,0.5869756579814411,0.247865525399571,0.0035073870486786673
BHR,2016,0.1602099634821399,0.588578469419473,0.2456552773679728,0.005556289730414221
BHR,2017,0.15933433449793724,0.5908239827007422,0.24431264618296095,0.0055290366183595695
